"case_no","patents"
"1:20-cv-04066","10467621|9767455|8346659|9684899|10127550"
"2:13-cv-00412","6034652|6263507|6757682|6788314"
"3:17-cv-04595","6804605|6803861|6812829|7224083|6924750|6816089"
"8:20-cv-01434","9051066|9242749"
"2012-1235","8099420|6928442|7945544|7802310"
"21-1088","5630715"
"8:20-cv-01040","7483272"
"6:20-cv-00665","6723351|6855339|6861076|6884439"
"2014-1117","7479630|10436698|6652835|9952134|10180386|10072104"
"2:14-cv-01347","6266674"
"6:13-cv-01226",""
"2:22-cv-00419","7070426"
"23-1284","6311231|6668286|7159043"
"6:21-cv-00575","6646549"
"1:14-cv-00870","8738921"
"2:20-cv-00260","8402281|6321201"
"1:23-cv-15481","7990967"
"3:10-cv-01758","6999933"
"3:10-cv-00086","6857074|7895313|7934148|7895306|6775356|7836141"
"2010-1477","6120804|6387407|6723345"
"2:20-cv-00746","5999947|6321236"
"0:14-cv-01172","4963014"
"1:16-cv-01085","4745641"
"2012-1596","5730778|5593478|6691702"
"2:13-cv-00849","6091956"
"2:15-cv-01548","7162696"
"4:14-cv-04621","8728474|8168179|9402899|9073994|9067999|7595048"
"2:16-cv-00219","RE43462"
"2:18-cv-05123","7027465|6832249|7911979|RE44904|7463596|7177285|6891807"
"6:22-cv-00393","6528496"
"1:13-cv-00494","8295862"
"2021-1901","6612985"
"1:23-cv-01288","RE44006|7529806|6690387|7184064|RE43564|8543819|5910797|6772114|RE44913|6522695"
"2019-1389","7231485"
"3:16-cv-06210","6711204"
"3:23-cv-01744","8887308"
"5:11-cv-05099","6757796"
"1:12-cv-12330","7134016"
"5:22-cv-06064","5742384"
"2021-1951","9053498"
"1:12-cv-00773","8429005"
"6:21-cv-00467","6934947|7882488"
"3:20-cv-06256","5535320"
"1:16-cv-00533","7162549|7295443|7522424|6976623"
"1:17-cv-00959","7487850|7950978|7222684|7621543"
"3:18-cv-00052","6034652|6263507|6757682|6788314"
"2022-1639",""
"5:18-cv-00155","5572576"
"1:14-cv-00905",""
"1:12-cv-01550","6201839|6438180"
"2017-2312","5620763|6010529|5810870|5735892|5925074|6315791"
"1:10-cv-04595","9661933"
"3:14-cv-00825","8437797"
"3:13-cv-00526","7015838|7116251"
"1:11-cv-07811","8019060"
"1:21-cv-10719","9291337|9212793|9109769"
"2:21-cv-00242","6626800"
"2:22-cv-00281","7369058|8330613"
"2:10-cv-00038","6680658"
"3:21-cv-00575","10140071|9036181|10873856"
"5:10-cv-00546","8424752"
"1:17-cv-00947","6243699|6035294|6195652"
"6:23-cv-00545","8538011|RE44307|7475246|7287275|RE44222|8739295|9021602|9104842|8473746|8224705|7159116"
"2:12-cv-04340","6813682|7228379|7159086"
"6:18-cv-00093","7827581|9344183"
"1:11-cv-00569","7867557"
"3:16-cv-00790","7106727"
"2:16-cv-10204","6538324"
"1:11-cv-00185","5603279|5228405|5605109"
"1:15-cv-10690","D622987"
"2016-2002","7475622"
"1:16-cv-00943","7464040|7490048"
"2:15-cv-13513","7654936|7722505|8092349"
"6:12-cv-00282","8691446"
"2:14-cv-00345","9448603"
"1:12-cv-01572","D411456"
"5:15-cv-00747","8856221"
"1:21-cv-00607","10933089|10905713|10653719|10478453|10586155|10912795|10583155"
"6:23-cv-00584","6876979|7177979"
"1:11-cv-02066","7027773"
"2016-2497","8017615|8642760|8580796|8518421"
"2014-1065","8598219"
"1:21-cv-00043","7532865|7496376"
"1:11-cv-01634","11128027"
"2019-2167","8234705|9516048"
"2:22-cv-08805","10154751|8561524|8707855"
"5:20-mc-00004","5325765|6082247|5840189|6079315"
"0:16-cv-61076","6188988|6081786"
"2:14-cv-00963","5974550|5991399"
"1:10-cv-00434","7068684|8391298|6067349|7123699"
"2022-1667",""
"2017-2229","7686250"
"2:15-cv-01570","7809866"
"3:13-cv-00293","7598855|7728724|8224355|8531289"
"2:16-cv-01208","8533860"
"2:15-cv-00807","9481973|7707797|7618217|7533505"
"1:12-cv-00506","8523951"
"1:12-cv-01482","7565359|8352854|9626342|5983227|7171414"
"4:14-cv-01381","6975864|6633761|7197308"
"1:20-cv-03782","6769613|RE40449"
"2019-1998","10688067|10398642"
"2:18-cv-01596","6975308"
"3:10-cv-02506","6575172"
"2:17-cv-00491",""
"1:23-cv-00844","RE38216"
"1:11-cv-04694","7246394"
"2:18-cv-00129","RE43766"
"2:23-cv-00389","5572576"
"2:15-cv-01042","RE37749"
"2019-2048","D521299|D551889|D521792|D520798|D523677"
"1:11-cv-00042",""
"1:10-cv-00691","9069510|9965233|8169649|10037178|9836259"
"6:12-cv-00741","6988620"
"2:10-cv-00227","6212527|6549911|6092080|5832499|5813014|6353831|5832495"
"1:21-cv-00723",""
"1:19-cv-00184","5751345|5751346"
"1:22-cv-01873","7816396|7638552"
"3:13-cv-02309","7105486|7700561|7223735"
"1:12-cv-00388","9332385|9654617"
"1:12-cv-01206","9170473"
"1:14-cv-04964","5388198"
"1:15-cv-00093","6775950"
"2:17-cv-00729","7454212|6947748"
"6:12-cv-00565","D448541"
"3:15-cv-00556","10334881|11497864"
"5:21-cv-00211","6716234|7029490"
"2:15-cv-01360","8993520|8435944|9180194"
"2020-2235","9080714|D690707|D750633"
"3:16-cv-01143","D661027"
"3:16-cv-06945","6894051|RE43932"
"2022-1110","5930444"
"3:20-cv-01179","5331637"
"2:14-cv-13908","7554290|7944173|7999510"
"2:13-cv-00341","6958337|5703079|5661151"
"1:10-cv-07420","8728474|8779105|9073994|9067999|9084776"
"2:18-cv-00304","8472567|7969924|8265034|8406118|8625506|7050413|7933355|8483060"
"2:16-cv-01126","8385966|7941174|9037129|8055820"
"1:19-cv-01603","8386469"
"2:13-cv-05082","9948922"
"2015-1763","D550578"
"1:18-cv-00980","7143986"
"1:20-cv-01725","6789787"
"337-TA-1372","7820788"
"5:21-cv-07812","5749313"
"1:20-cv-08057","5684514"
"0:10-cv-01796","7601858"
"3:10-cv-04876","8539275|7921320"
"1:22-cv-01109","7093648|7562696|8322403"
"2021-1691","9441035|10017732|10208355|10336983|10662237|6586206|8574869|10676710|9795672|7390660"
"3:18-cv-00611","6772132"
"1:15-cv-00902","9074254|8652776|9072742|9074256|9074255|9157121|8999638"
"23-2134","7758891|7923536|8268348|7820788|9393318|8138229|8034375|8314156|9597409|9511046|9101543"
"2010-1437","5127602"
"1:21-cv-05596","7218923"
"1:13-cv-00686","5796183"
"1:20-cv-00310","7565359|8352854|9626342|5983227|7171414"
"2:15-cv-02107","5942333"
"4:12-cv-00204","8724983"
"2018-1666","6972172"
"6:17-cv-00021","6330549"
"2015-1252","5843660|7008771|RE37984|6479235|6221598"
"3:15-cv-00388","7640178|7548867|8229774|8244561|7660727|8219448"
"1:14-cv-00444","5831669"
"2:18-cv-00421","7182131"
"1:10-cv-00931","6003269"
"8:20-cv-01982","7088239"
"2:11-cv-00200","7369058|6215411|6384736|8330613"
"6:22-cv-00199","7789264|RE43077|7243814|7789263|7204386|6305570"
"2:12-cv-00462","7410957|7718634|6294196"
"1:10-cv-00045","8651369|8936190|7992773"
"3:15-cv-00521","7454212|6947748"
"1:11-cv-02519","7693752"
"4:14-cv-00166","8020275"
"2:21-cv-03466","8175519|7065555|7693950|7386594|7979057|9747608|8150736|10783529"
"2020-1826","8778947|8383150"
"2:15-cv-06562","D486717"
"2:14-cv-00992","8645300"
"2:22-cv-07613","8596819|9476570|9261270|8777449|8403531"
"1:12-cv-08023","7574721"
"1:11-cv-00315","9608675"
"2:15-cv-00369","6307576|6611278"
"4:17-cv-00076","11336597|11240183|11349787"
"3:21-cv-00477","8586610|RE39198"
"6:20-cv-00610",""
"0:16-cv-03368","7582017"
"2:11-cv-08697","RE44733"
"1:18-cv-04919","6910601"
"1:14-cv-09637","5845070"
"2:13-cv-00811","6147601"
"0:11-cv-03531","7118003|7073680"
"1:19-cv-02286","10861599"
"2:18-cv-00626","6831865|7970987|7224607|6510488|7120729|8316177|6763424|7012835|7181611|7818490|6968421|7657702|8050095"
"1:19-cv-00146","5347579"
"22-1297","9113558"
"1:22-cv-10821","6671307"
"2:23-cv-00569","8788090"
"1:23-cv-00314","9232872|9232871"
"8:14-cv-00347","9137205|9917856|9565213|9413722|9560077|9264370"
"4:13-cv-04009","6641053"
"2013-1332","9131045"
"5:20-cv-05519","10621228|10423658|11163823"
"1:23-cv-01169","5625776|7606739"
"1:19-cv-02024","6241739"
"1:17-cv-03595","10534382"
"1:13-cv-01850","8204437|8437797"
"337-TA-919","8286070|6789228|7689898"
"4:17-cv-00861","9361243"
"6:22-cv-00687","6435686"
"2:17-cv-00244","7756983"
"5:16-cv-00092","5751346"
"2012-1673","5513126"
"2017-1616","5740724|5970856"
"1:14-cv-05243","5412730"
"1:21-cv-02077","8412488|8180492|10534382|8738327"
"1:12-cv-02640","5583850|5974078|5986570|RE41562|5266925|RE41531|6459726|5500650|5627544|7265674"
"1:12-cv-00362","6916334"
"1:18-cv-00943","5576951|7010508"
"1:14-cv-00229","9125909|8722684|8476279|7144884|9125908"
"1:12-cv-01529","D494427"
"2:13-cv-00315","11445241|11223757|8982086|8037161|10129590|11017815|10176848"
"1:19-cv-00878","8057233"
"8:23-cv-01424","5500650|5583850|5974078|RE41562|5266925|RE41531|6459726|5986570|5627544|7265674"
"6:15-cv-00400","5776172|5938691|5603726|5569307|5531774|5609616"
"2:10-cv-03366","5352605"
"22-1721","7638713"
"1:12-cv-03856","7341060|7614398|7178527|7938116|7926487|7950392|7997267|8312883|RE44453"
"2018-1693","7231485"
"1:12-cv-20686","8617160"
"6:10-cv-00533","8135342|8879987"
"6:15-cv-00312","8537498"
"6:23-cv-00622","4619921"
"2019-1447","D525721"
"2:11-cv-01263","6403649|7388029|8038988|7351404|8017655"
"337-TA-899",""
"23-1529","7861865"
"2016-2492","7474434|5625465|7259887|5369508|6094505|5768416|5258855"
"3:11-cv-00746","7618044|7857314|6220597|7331580|6626433"
"6:21-cv-00107","7892012|7976329"
"2:22-cv-00214","6665797"
"3:17-cv-00151","10880721|8630234"
"2015-2012","5845070"
"8:12-cv-00308","7177798"
"3:13-cv-02671","6289319"
"2013-1653","8228979|5999220|6370198"
"6:15-cv-00774","9654617|9332385|10728382"
"4:11-cv-00693","6570610|6002427"
"3:21-cv-05621","5912895|6587473|6327264"
"1:13-cv-00815","7426730"
"5:19-cv-08161","9073933"
"21-364","4283332"
"2:19-cv-08630","6470511"
"6:10-cv-00636","8818711"
"1:19-cv-01234","8508751"
"2:13-cv-00390","7849619"
"8:16-cv-00929","4558302"
"1:21-cv-05723","10999484|9868034|9630062|10695922"
"337-TA-894","6560274|5485511|6400814"
"2:12-cv-00722","7882661"
"2:13-cv-00097","8868772|11677798|10757156|9407564|11470138|10469555|10951680|10469554"
"4:11-cv-05058",""
"2:15-cv-00398","7784610|7389869"
"1:20-cv-01203","7344347"
"1:20-cv-01365","6891633"
"1:12-cv-09295","7752767"
"6:22-cv-00715","7761414|5666502|8046721|6847959|5579239|6226449|8074172|8086604|8014760|5946647"
"3:22-cv-02745","7117004|7190966|7286847|6973579"
"1:16-cv-00915","6918082"
"1:18-cv-00710","7461581"
"3:15-cv-00891","7435427|8367102"
"2015-1537","7305707"
"3:16-cv-00693","6623411|5833107|6416453|6623412"
"1:13-cv-00699","5878753|6725867"
"1:14-cv-00095","7254621|6925481|5825891|6738799"
"6:11-cv-01348","8589236|10535058"
"2:16-cv-00254","8374402|7281135"
"6:16-cv-01282","6979017"
"2017-1377","5720894"
"2020-1550","8424752|8651369|8936190|7992773"
"2:22-cv-01607","8712846|8396743"
"1:21-cv-01856","10154092|6549988"
"2020-2068","9486526"
"0:18-cv-60671","7518615"
"8:12-cv-01468","7482952|7479900"
"2019-1497","6856616"
"1:19-cv-01687","7625558"
"2:16-cv-01096","10703963"
"21-1035","8601776"
"6:15-cv-01025","6249868|6594765"
"3:16-cv-00243","6787228"
"2:13-cv-01244","6577073|7204607"
"1:20-cv-00209","8556543"
"1:15-cv-00014","7454430|8620848"
"1:19-cv-00190","6603490"
"2011-1389","6775356"
"6:21-cv-00865","8099420|7945544|5978791|6928442|7802310"
"1:19-cv-00296","11203489"
"1:16-cv-07025","7606843|8239347"
"1:21-cv-01249","5539398"
"9:10-cv-80413","7674481"
"2:20-cv-00296","9510610"
"21-2248","6117872"
"1:12-cv-01236","8183227|8609629|8617617|8197855|6863904|7390509|6814983"
"1:18-cv-00837","5947475"
"9:16-cv-81515","7603311"
"1:23-cv-00080","6412571"
"8:15-cv-01230","8309060|8329216|8114383|8309122"
"5:22-cv-03201","5806926"
"2:13-cv-11497","7088782"
"2:19-cv-02175","D753914"
"1:20-cv-01212","8416949|8146949|RE44755"
"23-2306","6542787|6498771|6328766|5491812|5925119|6353581"
"4:16-cv-00643","7428707"
"5:18-cv-05194","6047223"
"1:20-cv-00486","7178965|7322730"
"2:16-cv-00856","5689642"
"1:20-cv-00834","7187709"
"3:16-cv-00133","6250779"
"2:12-cv-02592","RE44199"
"1:23-cv-00344","8065527"
"1:17-cv-11923","RE44048"
"1:19-cv-20716","7369058|8330613"
"1:10-cv-07587","7390906"
"4:17-cv-02709","9162000|9302020"
"2017-2053","6570610|6002427"
"2:14-cv-00260","5826026|6216156"
"5:20-cv-06127","5874471|6028107"
"8:20-cv-02208","6012070"
"2019-2304","10128601"
"3:19-cv-00638","8863979"
"0:11-cv-00980","6090923"
"2:20-cv-00113",""
"1:22-cv-01345","6409599"
"1:21-cv-22362","8900497|8603514|8906277|8017150|8475832"
"2:21-cv-00416","D626305"
"4:15-cv-00138",""
"6:21-cv-00942","6430603|7382334|RE39470"
"3:18-cv-01554",""
"8:16-cv-02142","9261365"
"2:16-cv-01274","7923221"
"1:21-cv-00245","8186527"
"1:22-cv-01648","9533105|9604009|9604008|8512297|9408979|9233211|7476652|9561331|7918833|9526844|8556864|8992486|9011391|7713930|9623189|9610409|8679069|8603044"
"2:23-cv-00014","9092428"
"1:13-cv-01592","6847803|7310304|7706458|7088782"
"1:13-cv-20632","10206025|10469934"
"2019-1215","D660702|D661191"
"5:22-cv-00142","5682526|5715451"
"2:15-cv-02069","D498167"
"3:13-cv-01089","6484257"
"22-819","7513893|7211070"
"1:19-cv-03604","7657386"
"2:22-cv-00072",""
"2:19-cv-00196","5909492|5715314"
"1:21-cv-00317","5727554|5784431"
"0:13-cv-02149","7062538|7546351|6779022"
"3:20-cv-03789","7089055|6266563"
"6:22-cv-00203","5689642"
"1:19-cv-09197","7301176|7161190|7012277|6982522|6803606"
"2:13-cv-00938","9565149"
"2021-1892","6684221|6789091"
"2:11-cv-00867","7456872"
"2015-2019","7610244"
"1:14-cv-12405","9838807"
"2:19-cv-10843","6574239|8291010|8266296"
"3:17-cv-07297","6321095"
"1:21-cv-01321","8966362|9208439|8489599"
"2014-1611","8397177"
"1:12-cv-01444","8856221|9898500"
"3:21-cv-09138","8754070|9132089|8466138|6503894|8741881|8759329|8486925|9125816|8466136|8466137|8729057"
"1:15-cv-00069","4813056"
"2012-1309","9638157|8887683|5361737|8783220|7721697|9551315|9624898"
"1:16-cv-06843","7827581|9344183"
"1:20-cv-00222",""
"2017-1635","7803423|7867557|9680068|7588828|8524365"
"2017-1272","8944449"
"1:13-cv-00354","9336307|8385814|7929902"
"3:22-cv-00732","8320820"
"2:16-cv-02176","6724241|6874014"
"1:12-cv-01552","6789190|7047564|7523497"
"0:22-cv-61899","5826245"
"1:16-cv-00944","7295673|8472792|10212486|10225588|9998515|9270720|8139651"
"5:10-cv-02863","7709610"
"1:11-cv-00134","8603522|6660297"
"2:16-cv-00423","6371053"
"6:22-cv-00161","D519076|6558194|5470257|6848940"
"2:20-cv-00006","8198261"
"23-1127","8515791"
"1:17-cv-00750",""
"1:16-cv-01938","6598686"
"6:15-cv-00402","10043188"
"8:17-cv-01030",""
"2:20-cv-00665","8777998"
"2020-1272","D911188|D911855|D860004|D911173|D911172|5209538|D834950|D910462|5054694|D610462|5223288|D855476|D911189|5269998|4949119"
"1:19-cv-02258","D857899"
"2:17-cv-03538","7132060"
"1:14-cv-01432","5912895|6587473|6327264"
"7:18-cv-00660","7379981|8700749|8855019"
"6:12-cv-00284","D602345|D600100|D629291|D699548"
"2:19-cv-00275","9477689|10102601|10489873|9792662"
"2:12-cv-01096",""
"2022-2055","8111839"
"5:18-cv-00545","9686504|8320461"
"2:19-cv-09011","9324004"
"3:11-cv-03356","7016137|6345779|6896959|7115331"
"2:11-cv-00168",""
"0:11-cv-61506","5388198"
"1:17-cv-11282","6065046"
"3:19-cv-00316","7525955"
"2:22-cv-00032","5930474"
"6:12-cv-00733","6073142|5987610|6460050|7506155"
"4:20-cv-10707","6504515"
"2017-2589","6009553|5687196"
"2:15-cv-00726","8455531|8466187"
"1:12-cv-01239","6678360|7980095|8479536"
"6:22-cv-00452","7904374|7587357|7813996|7613651|7693768|7734533|7685055|7555456|7680724|7676411|7930240|7725382|7412416|7127424|6772132|7212999|7567929|7533056|7702566|7783556|6766304"
"7:21-cv-05536","11229627|11007179|11090291|11160792|11311516"
"7:11-cv-05664","8359102|9327125|9333357|9480842|8792988|8768472|8712533"
"3:17-cv-01403","8009870|7711150|7881498"
"2:17-cv-00455","9586504"
"1:12-cv-02859","8275637"
"1:11-cv-01075","9357352|10321267|9264875|10334397"
"1:17-cv-12375","D613583"
"2012-1407","5460890|5411765|6277495|7691961"
"1:21-cv-00363","5412730"
"2:10-cv-00422","7722553"
"2:23-cv-00363","6955645"
"6:20-cv-00709","9415130"
"1:11-cv-23630",""
"1:20-cv-06495","6321984|6332128|7653571|7383204|6732081"
"2:19-cv-00141","5886184|5547957|5571817"
"0:10-cv-60371","6754400"
"3:10-cv-02655","9053498"
"2:16-cv-01358","6101534"
"5:22-cv-00063","9444868|9094802"
"2019-1297","5749214|6174525"
"1:12-cv-02430","7729940|8000993|8112301"
"0:16-cv-60691","6285892"
"2:22-cv-00412","5805975|6122482|8165520|7542717|6947702|8095064|6917783|6334045|6397038|7826791"
"2020-1289","6638553|D459853|6610344|6592923"
"2:15-cv-06341","6155958|8057364|6468185|6881178"
"5:13-cv-03292","5877445|5693902"
"1:13-cv-06559","6361758|6136799|5597815"
"4:15-cv-40075","7861485"
"1:14-cv-01152","6534446|5840656|5439873"
"2017-1346","8581706|6824064"
"6:22-cv-01272","9582008|8056576"
"1:13-cv-02106",""
"2:16-cv-02122","8099420|7945544|5978791|6928442|7802310"
"2017-1572","6333045"
"1:20-cv-00653","6127353"
"2020-2164","5781480|6093972|6465743"
"2:16-cv-00859","6612985"
"2:21-cv-00866","6343290"
"337-TA-935",""
"3:19-cv-01690","6946258"
"2012-1624","7721724|7753044"
"2015-1595","7054045|6377238"
"2015-1844","5831669"
"1:16-cv-02866","6018720|6856966"
"2:12-cv-00187",""
"6:12-cv-00174","9472069|8558888"
"1:20-cv-03076","7601127"
"3:10-cv-00236","7413319|7717582"
"3:12-cv-00531","6798344|7323980|6778085"
"3:16-cv-01267","7787938"
"1:20-cv-01149","8245764|10078354|11287862|10078355|9733681|10599196|11287861|8240362|10613601"
"3:21-cv-01665","9547981|8135342"
"2019-1354",""
"2018-1526","6559547"
"2018-1497","6581341|6877292|7493739|7877958|8230661"
"24-1311","5305381"
"1:17-cv-00025",""
"2:17-cv-00154","8630974|7945530|7584167"
"4:15-cv-00724","6646006"
"6:16-cv-02213","6308482"
"8:11-cv-00816",""
"1:19-cv-00481","7674800|7776314|7683072|6488963|7674799"
"0:11-cv-01173","5839748"
"1:18-cv-00565","5999947|6321236"
"2017-1263","7872973"
"2021-1508","5912188"
"2:10-cv-00485","4851341|4994372|4782137|4795699|4703004|4946786|4942130|4981977|4962020|7504238|5011912"
"2:11-cv-00056","5657461"
"1:16-cv-01052","7296221"
"2:13-cv-00362","9674721"
"3:16-cv-00362","7267820"
"2015-1044","8868377|7145462"
"2:12-cv-00866","7631336|10506269|10028026|10349101|14978953|14987237|14706721"
"0:10-cv-60622","7484264|7228588"
"3:13-cv-00014","8156158"
"6:21-cv-00849","6917304"
"2:11-cv-05565","RE45429"
"1:13-cv-00253","D981205"
"4:16-cv-00482","9970018|9453230"
"1:20-cv-00147","7458187"
"2015-1059","8513202|7943582"
"1:12-cv-00904","6948488"
"4:17-cv-00832","6638268"
"2007-1302","7267172|6907936|7543634|8657009|7134505|7861774"
"8:10-cv-01019","7020132|6208638|6350066|6597688"
"2016-1168","7576135"
"3:14-cv-04878","7392283|7174362"
"2020-1730","7835421"
"3:13-cv-00832","6783691"
"9:15-cv-80035","8295862"
"1:23-cv-15414","7346583|6567793|5982892"
"2022-1588","D889914"
"1:15-cv-07742","8391826"
"1:17-cv-04326","7101101|5531529|7354209"
"1:14-cv-00878","D725492"
"2:12-cv-00464","11266852|10478634|10695576|10695575"
"2:22-cv-00441","7827581|9344183"
"6:13-cv-00287","7767648|7468354"
"2022-1414","8896694"
"1:11-cv-03956","6915119|6144763|5734427|7327886"
"1:16-cv-00542","7944469"
"2:22-cv-00225","5455669"
"24-1206","7820062|6308062|7399416"
"6:21-cv-00646","5987440"
"2:12-cv-00869","8099420|7945544|5978791|6928442|7802310"
"3:14-cv-05511",""
"3:12-cv-00775","6545706|6914635|7715476"
"6:16-cv-00957","7620984|7533109|7383471|8230204"
"6:20-cv-00422","10965512|10447450|10075941|8467366|10833908|10771302"
"3:18-cv-01786","6804129|6396722|6259615"
"6:11-cv-00582","9403091"
"6:11-cv-00540","5924078|5717866"
"1:13-cv-03470","6819539"
"5:21-cv-01983","6164024"
"1:21-cv-01384","7389886|4898282|6168032|7497341|6964235|7299934|6041720|3329280|5190186"
"18-1343","7047547|6701523"
"1:23-cv-00414","5944445"
"337-TA-1286","7412446"
"1:21-cv-01070","5581670"
"1:12-cv-01494","6324020"
"8:12-cv-02003","5699275|5966658"
"2:15-cv-01872","6958701"
"2:16-cv-00610","6207242|7348067"
"3:13-cv-04843","6278936|6714859|6317060|6486801|6618668"
"1:12-cv-01585","9195120|9435979"
"1:22-cv-01173","9884423"
"1:19-cv-00251","5590642"
"1:18-cv-01598","5128099"
"6:22-cv-00774","6560528"
"8:08-cv-02532","6594691|7269636"
"2:11-cv-00969","8201491"
"2:15-cv-00106","9918196|10390175|10448209"
"2:23-cv-00137","8945945|8927298|9040308"
"2019-1789","11392916|10679583|10755669"
"2:15-cv-00519","7398714"
"1:18-cv-12045","10987782|9815177"
"2:14-cv-01076","8759350"
"2020-1761","RE41189|10889171|6858078|5628824|4124690|6811610|5449412"
"2:21-cv-00105","D740493|D712595"
"3:19-cv-01658","5974550|5991399"
"1:10-cv-01764","6372422|9365822|7723116|8652769|7208265|9145590"
"21-2372","8603044"
"6:20-cv-00586","7529465|7493015|6233389|6792195"
"2:21-cv-00316","37326|5533071|5923711|6785906"
"5:16-cv-01917","7553992|7649019|7645802|7572935|7662407|7241805|7569610|7671094"
"6:14-cv-02092","8450249|8450250|8022118|8426498"
"2020-1350","8533860"
"4:12-cv-03166","8759350"
"1:16-cv-00411","7756876|8060515|6877010"
"22-1222","7571850|7597251|7699220|7621444|7793830|7600677|7837101|7575158|7617973|7591420|7597248|7802718"
"1:10-cv-00094","D593353|D610856"
"6:15-cv-00209","D800085|D753089"
"2:14-cv-00170","7088782|7310304|7706458"
"1:12-cv-01456","7904326|6269355|7958024|7908304|6850924|6473748"
"6:15-cv-00134","8146077|6384850"
"1:13-cv-08014","5994798|6803681|5965963|6274952|6713902"
"1:19-cv-11000","6195327|6088326|6222819|6381211"
"2012-1644","D884252"
"4:12-cv-00651","6611231|7729728|7062296"
"1:13-cv-02039","6469035|6746691|6676967|6129930|6080428|6818229|7011848|6406715"
